Date,Top_Pick,Top_Pick_Actual_Return,RF_Week_Return (%),RF_Week_PnL ($),RF_Portfolio_Value ($),EW_Week_Return (%),Result,vs_EqualWeight
2024-01-05,PFE,2.361931226120184,-0.5889,-58.89,9941.11,-1.0768,Loss,RF Better
2024-01-12,MSFT,5.63426240652618,1.7186,170.84,10111.95,0.6348,Profit,RF Better
2024-01-19,PFE,-1.4634146341463317,0.8361000000000001,84.55,10196.5,0.6568,Profit,RF Better
2024-01-26,CVX,4.850956130483675,0.8663000000000001,88.33,10284.83,0.2342,Profit,RF Better
2024-02-02,PFE,-1.9657808518383613,1.3514,138.99,10423.82,2.5258,Profit,EW Better
2024-02-09,TSLA,3.0120802511840683,1.7097000000000002,178.22,10602.04,1.4063,Profit,RF Better
2024-02-16,TSLA,3.295965283876634,-0.029500000000000002,-3.13,10598.9,-0.40020000000000006,Loss,RF Better
2024-02-23,PFE,0.5068790731354023,0.7252,76.87,10675.77,1.6148,Profit,EW Better
2024-03-01,BA,-0.4132848677986467,-0.1922,-20.52,10655.26,0.4772,Loss,EW Better
2024-03-08,PFE,2.369311771342608,-1.9902,-212.06,10443.19,-0.8225,Loss,EW Better
2024-03-15,BA,-8.040707340420173,-0.1579,-16.49,10426.7,-0.0681,Loss,EW Better
2024-03-22,BA,3.462444529666353,2.0338,212.06,10638.76,2.5862,Profit,EW Better
2024-03-29,BA,2.1922160444797445,0.8305999999999999,88.37,10727.13,0.39820000000000005,Profit,RF Better
2024-04-05,BA,-5.103891393336458,-0.7734000000000001,-82.97,10644.17,-0.44120000000000004,Loss,EW Better
2024-04-12,BA,-7.420552582723583,-1.4248,-151.66,10492.51,-1.2867,Loss,EW Better
2024-04-19,JPM,1.6466983970676807,-3.5877,-376.44,10116.07,-3.2338,Loss,EW Better
2024-04-26,META,-7.853326958654661,1.5509,156.89,10272.96,3.2446,Profit,EW Better
2024-05-03,JNJ,2.141781853017677,2.3972,246.27,10519.23,2.3073,Profit,RF Better
2024-05-10,META,5.363306487299768,0.9661,101.62,10620.85,1.1813,Profit,EW Better
2024-05-17,AAPL,3.7257579896203152,2.2961,243.87,10864.72,2.44,Profit,EW Better
2024-05-24,META,1.337119365980799,0.46140000000000003,50.13,10914.85,-0.2066,Profit,RF Better
2024-05-31,NVDA,2.967972198741431,0.8083,88.23,11003.08,0.0956,Profit,RF Better
2024-06-07,JNJ,0.27953910138407423,2.218,244.05,11247.13,1.5717999999999999,Profit,RF Better
2024-06-14,NVDA,9.090909090909083,1.5225,171.24,11418.37,0.3174,Profit,RF Better
2024-06-21,JPM,1.3004438022499842,0.7983,91.15,11509.52,0.6716,Profit,RF Better
2024-06-28,META,1.9079186709244578,1.3881,159.77,11669.29,1.4817,Profit,EW Better
2024-07-05,XOM,-1.52015288394719,5.5027,642.13,12311.41,4.189,Profit,RF Better
2024-07-12,GS,3.255513717052172,0.7873,96.93,12408.35,-0.4006,Profit,RF Better
2024-07-19,META,-4.426002766251724,-2.1999999999999997,-272.99,12135.36,-1.1493,Loss,EW Better
2024-07-26,PFE,2.6693360026693425,-1.3509,-163.94,11971.42,-0.8629,Loss,EW Better
2024-08-02,TSLA,-5.518653321201105,-1.8763999999999998,-224.64,11746.78,-3.0074,Loss,RF Better
2024-08-09,JPM,3.3443808376016904,-0.5719,-67.18,11679.6,-0.5369999999999999,Loss,EW Better
2024-08-16,MSFT,3.0663514112605483,4.537,529.9,12209.5,4.2372,Profit,RF Better
2024-08-23,NVDA,3.84491892759673,1.0857,132.55,12342.05,0.9702000000000001,Profit,RF Better
2024-08-30,AAPL,0.9522130135778406,-0.7614,-93.97,12248.09,-0.2531,Loss,EW Better
2024-09-06,GS,-6.004899559039689,-5.2956,-648.6,11599.48,-4.8783,Loss,EW Better
2024-09-13,MSFT,7.191934279312906,3.7737,437.73,12037.21,3.6713999999999998,Profit,RF Better
2024-09-20,JPM,3.3134299138606105,1.8901999999999999,227.53,12264.74,1.8921000000000001,Profit,EW Better
2024-09-27,BA,1.9766455737491029,1.3797,169.22,12433.96,0.7797000000000001,Profit,RF Better
2024-10-04,NVDA,2.8995057660625934,-0.0327,-4.07,12429.89,0.738,Loss,EW Better
2024-10-11,TSLA,-12.907869481765832,-0.7957000000000001,-98.9,12330.99,0.0986,Loss,EW Better
2024-10-18,BA,2.635412528141967,1.4318000000000002,176.55,12507.54,0.8233,Profit,RF Better
2024-10-25,AAPL,-1.5276595744680876,1.2576,157.3,12664.84,1.1251,Profit,RF Better
2024-11-01,PFE,-1.2653778558875173,-1.3583,-172.03,12492.81,-0.987,Loss,EW Better
2024-11-08,PFE,-4.877180491278043,5.4621,682.36,13175.17,5.1480999999999995,Profit,RF Better
2024-11-15,JPM,3.5150645624103305,-1.7227,-226.97,12948.2,-1.9566,Loss,RF Better
2024-11-22,BA,6.4911905271417325,3.1296,405.23,13353.43,1.9893,Profit,RF Better
2024-11-29,GS,0.9605494541955695,0.5214,69.63,13423.06,1.154,Profit,EW Better
2024-12-06,PFE,-1.8313620755436855,2.2266,298.88,13721.94,2.0542000000000002,Profit,RF Better
2024-12-13,JNJ,-1.8016207889625546,0.7511,103.07,13825.02,1.0193,Profit,EW Better
2024-12-20,JNJ,-1.4663756649843207,-1.5651000000000002,-216.37,13608.64,-1.3896,Loss,EW Better
2024-12-27,JNJ,0.40146743268498764,1.0424,141.85,13750.5,0.8847,Profit,RF Better
2025-01-03,JNJ,-0.5928990003447154,-0.38630000000000003,-53.11,13697.38,-0.5033,Loss,RF Better
2025-01-10,JNJ,-1.4772175601636683,-1.2713999999999999,-174.15,13523.23,-0.9095000000000001,Loss,EW Better
2025-01-17,JNJ,3.498521751372663,2.8911,390.97,13914.2,2.9715,Profit,EW Better
2025-01-24,JPM,2.1916962494211933,1.2732,177.16,14091.36,0.8756999999999999,Profit,RF Better
2025-01-31,XOM,-1.6841524019878484,-1.4231,-200.54,13890.82,-0.17179999999999998,Loss,EW Better
2025-02-07,CVX,2.2990817078892833,0.1421,19.74,13910.56,-0.1996,Profit,RF Better
2025-02-14,MSFT,-0.32214765100671006,0.9961,138.57,14049.13,1.5415999999999999,Profit,EW Better
2025-02-21,XOM,2.2634885439763552,-1.2134,-170.48,13878.65,-2.3861,Loss,RF Better
2025-02-28,JPM,0.1551619739630583,-2.3165,-321.5,13557.15,-1.8651999999999997,Loss,EW Better
2025-03-07,MSFT,-0.9269754905665173,-4.9973,-677.49,12879.66,-4.7459,Loss,EW Better
2025-03-14,JPM,-4.061416542842988,-1.8234,-234.85,12644.82,-1.9649,Loss,RF Better
2025-03-21,MSFT,0.6948733786287908,1.7870000000000001,225.97,12870.78,1.6986,Profit,RF Better
2025-03-28,MSFT,-3.1845831416449366,-1.1216,-144.36,12726.43,-1.5654000000000001,Loss,RF Better
2025-04-04,MSFT,-5.005279831045417,-9.5605,-1216.71,11509.71,-10.781699999999999,Loss,RF Better
2025-04-11,AMZN,8.111111111111114,5.773,664.45,12174.16,6.1003,Profit,EW Better
2025-04-18,MSFT,-5.321148152915434,-2.281,-277.69,11896.47,-1.4574,Loss,EW Better
2025-04-25,MSFT,6.544673446081917,7.0257,835.81,12732.28,6.2469,Profit,RF Better
2025-05-02,META,9.09057686333985,3.5848999999999998,456.44,13188.72,2.9282,Profit,RF Better
2025-05-09,AAPL,-3.321158996834672,-1.0063,-132.71,13056.01,-0.502,Loss,EW Better
2025-05-16,META,8.076085672332024,7.426000000000001,969.53,14025.54,6.189,Profit,RF Better
2025-05-23,META,-2.07389824155918,-2.2401,-314.19,13711.36,-2.1628000000000003,Loss,EW Better
2025-05-30,PFE,0.7289879931389187,1.6682,228.73,13940.09,1.6977,Profit,EW Better
2025-06-06,TSLA,-14.812676788085199,0.5986,83.44,14023.53,0.9291,Profit,EW Better
2025-06-13,AAPL,-3.663201255394277,1.7271,242.2,14265.73,1.0027,Profit,RF Better
2025-06-20,XOM,2.3011059579022497,0.5528,78.86,14344.59,0.2952,Profit,RF Better
2025-06-27,GOOGL,7.135141622659624,2.5973,372.58,14717.17,3.381,Profit,EW Better
2025-07-04,JPM,3.0963742119745064,2.1989,323.62,15040.78,1.7673999999999999,Profit,RF Better
2025-07-11,PFE,1.0638297872340496,0.172,25.87,15066.66,0.5415,Profit,EW Better
2025-07-18,AAPL,0.009471490812651417,0.1702,25.64,15092.3,0.3927,Profit,EW Better
2025-07-25,GS,2.925479343743831,2.1952,331.3,15423.6,1.7206,Profit,RF Better
2025-08-01,META,5.237974967727466,-1.5391,-237.38,15186.23,-1.9852,Loss,RF Better
2025-08-08,JPM,-0.21080277844973683,4.1391,628.57,15814.79,3.8552999999999997,Profit,RF Better
2025-08-15,GS,1.3101889722295423,0.7313000000000001,115.65,15930.45,0.8396000000000001,Profit,EW Better
2025-08-22,AAPL,-1.6537847057299548,-0.0155,-2.48,15927.97,0.116,Loss,EW Better
2025-08-29,META,-2.1317187562103213,-0.1959,-31.2,15896.78,0.1454,Loss,EW Better
2025-09-05,GS,-0.944649446494461,-0.1699,-27.01,15869.77,0.41700000000000004,Loss,EW Better
2025-09-12,CVX,2.245216712221798,2.2162,351.7,16221.47,1.9114,Profit,RF Better
2025-09-19,MSFT,1.5748185918807556,1.7496,283.81,16505.27,1.8546,Profit,EW Better
2025-09-26,TSLA,3.363297110803387,0.1157,19.1,16524.37,0.34199999999999997,Profit,EW Better
2025-10-03,TSLA,-2.4000908265213394,-0.0164,-2.71,16521.66,0.3912,Loss,EW Better
2025-10-10,TSLA,-3.80150291975897,-3.1864000000000003,-526.44,15995.22,-2.7146,Loss,EW Better
2025-10-17,MSFT,0.5127602943479026,1.8538999999999999,296.53,16291.75,1.6782,Profit,RF Better
2025-10-24,JPM,0.9678720258099238,1.9903,324.26,16616.01,1.9485,Profit,RF Better
2025-10-31,WMT,-4.700009418856544,0.3227,53.62,16669.63,0.6854,Profit,EW Better
2025-11-07,MSFT,-4.053610397636187,-2.4041,-400.76,16268.87,-1.6759,Loss,EW Better
2025-11-14,MSFT,2.689102693128298,-0.11379999999999998,-18.51,16250.36,0.043199999999999995,Loss,EW Better
2025-11-21,BA,-7.618753855644678,-2.6723,-434.26,15816.1,-1.9064999999999999,Loss,EW Better
2025-11-28,MSFT,4.212911971532662,4.2619,674.06,16490.16,4.2237,Profit,RF Better
2025-12-05,MSFT,-1.7987439279689377,1.8196,300.05,16790.21,1.5505,Profit,RF Better
2025-12-12,MSFT,-0.9582746916135587,0.0068,1.13,16791.35,-0.0115,Profit,RF Better
2025-12-19,MSFT,1.5443127912565746,0.826,138.7,16930.05,0.325,Profit,RF Better
2025-12-26,TSLA,-1.2489609310058158,0.8626999999999999,146.06,17076.1,1.123,Profit,EW Better
2026-01-02,GS,0.8048156641383031,-0.7929999999999999,-135.42,16940.68,-0.21489999999999998,Loss,EW Better
2026-01-09,MSFT,1.34055059838456,1.3501,228.72,17169.4,1.6161999999999999,Profit,EW Better
2026-01-16,MSFT,-4.051911200133529,-0.3666,-62.94,17106.46,0.49750000000000005,Loss,EW Better
2026-01-23,JPM,-4.720453163503691,-0.41609999999999997,-71.18,17035.27,0.2184,Loss,EW Better
2026-01-30,JPM,2.7441891710331623,1.9949000000000001,339.83,17375.1,1.4773,Profit,RF Better
2026-02-06,MSFT,-6.774500917985549,0.5757,100.03,17475.13,0.23739999999999997,Profit,RF Better
2026-02-13,AMZN,-5.4821224800304265,-2.7071,-473.06,17002.06,-1.6403999999999999,Loss,EW Better
2026-02-20,MSFT,-1.0191368484002705,1.5596,265.17,17267.23,0.23410000000000003,Profit,RF Better
2026-02-27,MSFT,-1.1303275180625905,-0.48190000000000005,-83.22,17184.02,-0.6189,Loss,RF Better
