Stock,Feature,Importance
AAPL,close_lag_1,0.04158668
AAPL,close_lag_7,0.035953432
AAPL,close_lag_30,0.04688558
AAPL,return_1d,0.024354855
AAPL,return_7d,0.03789973
AAPL,return_30d,0.040808138
AAPL,ma_7,0.07352958
AAPL,ma_30,0.054179985
AAPL,ma_200,0.074705176
AAPL,volatility_7,0.047927152
AAPL,volatility_30,0.0540776
AAPL,volume_change_1d,0.022979287
AAPL,volume_ma_7,0.053488947
AAPL,volume_ma_30,0.066121474
AAPL,volume_ratio_30,0.028296832
AAPL,rsi_14,0.039482914
AAPL,sp500_return,0.029245807
AAPL,nasdaq_return,0.032618497
AAPL,weekday,0.018835124
AAPL,month,0.07839764
AAPL,quarter,0.09862551
AMZN,close_lag_1,0.03569886
AMZN,close_lag_7,0.060434055
AMZN,close_lag_30,0.04859167
AMZN,return_1d,0.021818254
AMZN,return_7d,0.04620968
AMZN,return_30d,0.049140897
AMZN,ma_7,0.078166835
AMZN,ma_30,0.07521263
AMZN,ma_200,0.07308935
AMZN,volatility_7,0.04357014
AMZN,volatility_30,0.06746597
AMZN,volume_change_1d,0.026226174
AMZN,volume_ma_7,0.047944568
AMZN,volume_ma_30,0.05004255
AMZN,volume_ratio_30,0.025558546
AMZN,rsi_14,0.041401464
AMZN,sp500_return,0.026852181
AMZN,nasdaq_return,0.036445383
AMZN,weekday,0.011755866
AMZN,month,0.064344175
AMZN,quarter,0.070030764
GOOGL,close_lag_1,0.044507418
GOOGL,close_lag_7,0.038154475
GOOGL,close_lag_30,0.055717707
GOOGL,return_1d,0.02397154
GOOGL,return_7d,0.048704255
GOOGL,return_30d,0.04998485
GOOGL,ma_7,0.052854124
GOOGL,ma_30,0.06445952
GOOGL,ma_200,0.09542482
GOOGL,volatility_7,0.03975316
GOOGL,volatility_30,0.054931868
GOOGL,volume_change_1d,0.021887755
GOOGL,volume_ma_7,0.050404985
GOOGL,volume_ma_30,0.05491114
GOOGL,volume_ratio_30,0.038073037
GOOGL,rsi_14,0.04708072
GOOGL,sp500_return,0.032133322
GOOGL,nasdaq_return,0.04696254
GOOGL,weekday,0.0228842
GOOGL,month,0.06306096
GOOGL,quarter,0.054137565
MSFT,close_lag_1,0.04750533
MSFT,close_lag_7,0.038223352
MSFT,close_lag_30,0.054340366
MSFT,return_1d,0.01767834
MSFT,return_7d,0.04456329
MSFT,return_30d,0.06090017
MSFT,ma_7,0.060435604
MSFT,ma_30,0.05170788
MSFT,ma_200,0.09155252
MSFT,volatility_7,0.061223883
MSFT,volatility_30,0.05027449
MSFT,volume_change_1d,0.021118086
MSFT,volume_ma_7,0.055181254
MSFT,volume_ma_30,0.06361891
MSFT,volume_ratio_30,0.03451245
MSFT,rsi_14,0.05307304
MSFT,sp500_return,0.045230903
MSFT,nasdaq_return,0.031953927
MSFT,weekday,0.013761067
MSFT,month,0.056320917
MSFT,quarter,0.046824146
NVDA,close_lag_1,0.044428185
NVDA,close_lag_7,0.046939183
NVDA,close_lag_30,0.060166217
NVDA,return_1d,0.02074483
NVDA,return_7d,0.04005476
NVDA,return_30d,0.054897506
NVDA,ma_7,0.05650033
NVDA,ma_30,0.05534435
NVDA,ma_200,0.09022328
NVDA,volatility_7,0.046160962
NVDA,volatility_30,0.06776498
NVDA,volume_change_1d,0.01571233
NVDA,volume_ma_7,0.054305583
NVDA,volume_ma_30,0.05804427
NVDA,volume_ratio_30,0.026547058
NVDA,rsi_14,0.050397456
NVDA,sp500_return,0.029516367
NVDA,nasdaq_return,0.023558278
NVDA,weekday,0.009589461
NVDA,month,0.074656345
NVDA,quarter,0.074448235
BA,close_lag_1,0.04234083
BA,close_lag_7,0.07684209
BA,close_lag_30,0.029572532
BA,return_1d,0.023677552
BA,return_7d,0.07667247
BA,return_30d,0.10315025
BA,ma_7,0.05884713
BA,ma_30,0.08544897
BA,ma_200,0.059191704
BA,volatility_7,0.040047087
BA,volatility_30,0.063121505
BA,volume_change_1d,0.015183958
BA,volume_ma_7,0.04232648
BA,volume_ma_30,0.04218437
BA,volume_ratio_30,0.016256424
BA,rsi_14,0.03620331
BA,sp500_return,0.07666343
BA,nasdaq_return,0.02829903
BA,weekday,0.01386173
BA,month,0.032858133
BA,quarter,0.037251074
CVX,close_lag_1,0.051804386
CVX,close_lag_7,0.037068583
CVX,close_lag_30,0.052798226
CVX,return_1d,0.02140252
CVX,return_7d,0.040563174
CVX,return_30d,0.05214833
CVX,ma_7,0.14250523
CVX,ma_30,0.07542997
CVX,ma_200,0.053234614
CVX,volatility_7,0.038865164
CVX,volatility_30,0.05784841
CVX,volume_change_1d,0.017395562
CVX,volume_ma_7,0.055609826
CVX,volume_ma_30,0.054742668
CVX,volume_ratio_30,0.031229924
CVX,rsi_14,0.03328802
CVX,sp500_return,0.08453406
CVX,nasdaq_return,0.020583045
CVX,weekday,0.009890454
CVX,month,0.041571423
CVX,quarter,0.027486363
GS,close_lag_1,0.038017888
GS,close_lag_7,0.046754908
GS,close_lag_30,0.047513716
GS,return_1d,0.017716652
GS,return_7d,0.040459886
GS,return_30d,0.070847206
GS,ma_7,0.06451082
GS,ma_30,0.06834814
GS,ma_200,0.071769744
GS,volatility_7,0.0492135
GS,volatility_30,0.051447503
GS,volume_change_1d,0.017909735
GS,volume_ma_7,0.050101828
GS,volume_ma_30,0.060156133
GS,volume_ratio_30,0.03861468
GS,rsi_14,0.05516377
GS,sp500_return,0.03603892
GS,nasdaq_return,0.027891887
GS,weekday,0.0153389955
GS,month,0.054344032
GS,quarter,0.077839985
JNJ,close_lag_1,0.053826932
JNJ,close_lag_7,0.033287458
JNJ,close_lag_30,0.043177344
JNJ,return_1d,0.020749101
JNJ,return_7d,0.040718358
JNJ,return_30d,0.052650496
JNJ,ma_7,0.06546464
JNJ,ma_30,0.079956174
JNJ,ma_200,0.08695268
JNJ,volatility_7,0.053356867
JNJ,volatility_30,0.07686366
JNJ,volume_change_1d,0.022086116
JNJ,volume_ma_7,0.07455252
JNJ,volume_ma_30,0.046626195
JNJ,volume_ratio_30,0.033278428
JNJ,rsi_14,0.04264693
JNJ,sp500_return,0.038718212
JNJ,nasdaq_return,0.027734013
JNJ,weekday,0.017200934
JNJ,month,0.05407218
JNJ,quarter,0.036080685
JPM,close_lag_1,0.029381016
JPM,close_lag_7,0.048000474
JPM,close_lag_30,0.038673557
JPM,return_1d,0.02595193
JPM,return_7d,0.045821685
JPM,return_30d,0.047910728
JPM,ma_7,0.06504162
JPM,ma_30,0.052601937
JPM,ma_200,0.067632444
JPM,volatility_7,0.06147732
JPM,volatility_30,0.04231996
JPM,volume_change_1d,0.023141358
JPM,volume_ma_7,0.052258868
JPM,volume_ma_30,0.050528806
JPM,volume_ratio_30,0.04478831
JPM,rsi_14,0.06277684
JPM,sp500_return,0.039836477
JPM,nasdaq_return,0.027816499
JPM,weekday,0.015923018
JPM,month,0.054356538
JPM,quarter,0.103760675
META,close_lag_1,0.048756883
META,close_lag_7,0.061982542
META,close_lag_30,0.039172556
META,return_1d,0.025468787
META,return_7d,0.05719148
META,return_30d,0.05042543
META,ma_7,0.066245645
META,ma_30,0.059190214
META,ma_200,0.09199278
META,volatility_7,0.035315372
META,volatility_30,0.06085943
META,volume_change_1d,0.02650507
META,volume_ma_7,0.044632263
META,volume_ma_30,0.0590823
META,volume_ratio_30,0.026877496
META,rsi_14,0.036823764
META,sp500_return,0.034205273
META,nasdaq_return,0.04230181
META,weekday,0.009255464
META,month,0.069333844
META,quarter,0.054381635
PFE,close_lag_1,0.04628718
PFE,close_lag_7,0.03889792
PFE,close_lag_30,0.05042147
PFE,return_1d,0.016491199
PFE,return_7d,0.041199498
PFE,return_30d,0.04184447
PFE,ma_7,0.08610791
PFE,ma_30,0.06595543
PFE,ma_200,0.069518305
PFE,volatility_7,0.048234537
PFE,volatility_30,0.079752184
PFE,volume_change_1d,0.018733334
PFE,volume_ma_7,0.05428613
PFE,volume_ma_30,0.06388942
PFE,volume_ratio_30,0.04807763
PFE,rsi_14,0.045090698
PFE,sp500_return,0.029594548
PFE,nasdaq_return,0.029074494
PFE,weekday,0.010715124
PFE,month,0.06792272
PFE,quarter,0.047905788
TSLA,close_lag_1,0.046093497
TSLA,close_lag_7,0.049498137
TSLA,close_lag_30,0.048775937
TSLA,return_1d,0.018836074
TSLA,return_7d,0.038699698
TSLA,return_30d,0.07386307
TSLA,ma_7,0.07151064
TSLA,ma_30,0.07397687
TSLA,ma_200,0.06714258
TSLA,volatility_7,0.049085706
TSLA,volatility_30,0.054144517
TSLA,volume_change_1d,0.021622246
TSLA,volume_ma_7,0.054071933
TSLA,volume_ma_30,0.07829295
TSLA,volume_ratio_30,0.026728617
TSLA,rsi_14,0.055959325
TSLA,sp500_return,0.027927231
TSLA,nasdaq_return,0.02820443
TSLA,weekday,0.022826647
TSLA,month,0.060150977
TSLA,quarter,0.032589015
WMT,close_lag_1,0.051315777
WMT,close_lag_7,0.044419397
WMT,close_lag_30,0.04558736
WMT,return_1d,0.03509311
WMT,return_7d,0.04098554
WMT,return_30d,0.05266297
WMT,ma_7,0.062388044
WMT,ma_30,0.10721624
WMT,ma_200,0.06600697
WMT,volatility_7,0.039601237
WMT,volatility_30,0.06529874
WMT,volume_change_1d,0.020543763
WMT,volume_ma_7,0.04527801
WMT,volume_ma_30,0.052719947
WMT,volume_ratio_30,0.028776145
WMT,rsi_14,0.039002493
WMT,sp500_return,0.036262877
WMT,nasdaq_return,0.027991505
WMT,weekday,0.019181164
WMT,month,0.058723483
WMT,quarter,0.06094525
XOM,close_lag_1,0.03909256
XOM,close_lag_7,0.046093304
XOM,close_lag_30,0.04246756
XOM,return_1d,0.02066585
XOM,return_7d,0.03629738
XOM,return_30d,0.10557857
XOM,ma_7,0.06274808
XOM,ma_30,0.059152525
XOM,ma_200,0.07059245
XOM,volatility_7,0.053472243
XOM,volatility_30,0.062247343
XOM,volume_change_1d,0.01855471
XOM,volume_ma_7,0.05896246
XOM,volume_ma_30,0.056986287
XOM,volume_ratio_30,0.04953864
XOM,rsi_14,0.050831854
XOM,sp500_return,0.027731651
XOM,nasdaq_return,0.023501007
XOM,weekday,0.013477797
XOM,month,0.041590624
XOM,quarter,0.06041706
